Date,Trading Volume in USD
2019-11-28,140866896.98
2019-11-29,184435447.04
2019-11-30,98309196.12
2019-12-01,147310386.08
2019-12-02,144147373.0
2019-12-03,93350891.64
2019-12-04,219423688.84
2019-12-05,174117309.12
2019-12-06,143877316.92
2019-12-07,57587015.54
2019-12-08,67364927.04
2019-12-09,183803978.32
2019-12-10,137380911.42
2019-12-11,87291818.38
2019-12-12,172220254.3
2019-12-13,98308936.78
2019-12-14,63676595.1
2019-12-15,49770421.84
2019-12-16,184141751.08
2019-12-17,183592818.56
2019-12-18,242324296.84
2019-12-19,151420051.62
2019-12-20,58754044.44
2019-12-21,12627883.22
2019-12-22,61484812.48
2019-12-23,169070471.32
2019-12-24,96940364.16
2019-12-25,52224832.84
2019-12-26,71371545.92
2019-12-27,82325673.7
2019-12-28,23744431.7
2019-12-29,26524589.12
2019-12-30,68448682.36
2019-12-31,52688260.0
2020-01-01,21989740.4
2020-01-02,96141682.5
2020-01-03,254710438.56
2020-01-04,35772426.04
2020-01-05,35946146.88
2020-01-06,137329498.24
2020-01-07,216666034.54
2020-01-08,313619512.44
2020-01-09,214453512.24
2020-01-10,220977725.32
2020-01-11,80401921.16
2020-01-12,60592601.64
2020-01-13,113995086.24
2020-01-14,465943114.22
2020-01-15,290882528.5
2020-01-16,209443727.96
2020-01-17,238480864.04
2020-01-18,64323658.56
2020-01-19,167410402.32
2020-01-20,115813791.96
2020-01-21,132946445.68
2020-01-22,107073511.3
2020-01-23,203930785.74
2020-01-24,155045464.4
2020-01-25,51266763.72
2020-01-26,62605292.78
2020-01-27,181752128.48
2020-01-28,285858587.8
2020-01-29,231895705.12
2020-01-30,244269573.34
2020-01-31,198423788.44
2020-02-01,47018599.14
2020-02-02,90200588.82
2020-02-03,237231449.78
2020-02-04,199699210.44
2020-02-05,239557261.18
2020-02-06,249312220.96
2020-02-07,234905749.62
2020-02-08,102399600.4
2020-02-09,124496498.5
2020-02-10,321663564.62
2020-02-11,280471520.58
2020-02-12,295038168.74
2020-02-13,399658945.48
2020-02-14,295619167.24
2020-02-15,149425168.52
2020-02-16,162938837.2
2020-02-17,347000208.78
2020-02-18,291222775.68
2020-02-19,297299426.7
2020-02-20,326031302.64
2020-02-21,206800366.72
2020-02-22,45774039.52
2020-02-23,67295999.3
2020-02-24,232048097.4
2020-02-25,234092461.54
2020-02-26,310864557.92
2020-02-27,214171585.58
2020-02-28,201378076.02
2020-02-29,61773789.1
2020-03-01,86984346.94
2020-03-02,160586482.0
2020-03-03,231834420.04
2020-03-04,142955597.04
2020-03-05,145611616.72
2020-03-06,124872143.06
2020-03-07,76484557.5
2020-03-08,123398872.46
2020-03-09,429770954.7
2020-03-10,262905430.78
2020-03-11,221121379.22
2020-03-12,752025801.52
2020-03-13,483306013.66
2020-03-14,103171479.66
2020-03-15,46093492.96
2020-03-16,276068555.28
2020-03-17,306807068.24
2020-03-18,215891759.98
2020-03-19,240677150.76
2020-03-20,357485005.54
2020-03-21,145933651.46
2020-03-22,116152572.88
2020-03-23,299302526.34
2020-03-24,373055812.08
2020-03-25,303157803.0
2020-03-26,173883261.06
2020-03-27,166396547.76
2020-03-28,122761839.98
2020-03-29,66674673.3
2020-03-30,172477636.88
2020-03-31,149156316.52
2020-04-01,119373033.14
2020-04-02,292378920.92
2020-04-03,226347057.34
2020-04-04,76213774.02
2020-04-05,64990042.44
2020-04-06,344342950.78
2020-04-07,345056528.16
2020-04-08,281356634.6
2020-04-09,127950031.54
2020-04-10,155339465.68
2020-04-11,48165971.7
2020-04-12,74025954.18
2020-04-13,190276095.24
2020-04-14,120979032.86
2020-04-15,110162815.16
2020-04-16,269171098.78
2020-04-17,127784581.1
2020-04-18,74332672.12
2020-04-19,51717333.9
2020-04-20,201135398.4
2020-04-21,94203886.58
2020-04-22,105486287.46
2020-04-23,218077820.94
2020-04-24,147330367.8
2020-04-25,84607189.72
2020-04-26,69308107.92
2020-04-27,130412856.12
2020-04-28,95764175.04
2020-04-29,384239006.42
2020-04-30,501454669.72
2020-05-01,207723529.24
2020-05-02,92102187.94
2020-05-03,141601310.72
2020-05-04,237559310.76
2020-05-05,213275029.64
2020-05-06,289674349.32
2020-05-07,262033912.9
2020-05-08,272052633.92
2020-05-09,154143823.54
2020-05-10,287008728.76
2020-05-11,477082835.02
2020-05-12,196795540.94
2020-05-13,118228032.04
2020-05-14,237534952.44
2020-05-15,195181399.86
2020-05-16,91618111.62
2020-05-17,110300719.14
2020-05-18,169182344.5
2020-05-19,188694364.8
2020-05-20,172657542.92
2020-05-21,196889066.68
2020-05-22,149362229.88
2020-05-23,61817417.96
2020-05-24,84074043.94
2020-05-25,101949364.42
2020-05-26,130847378.62
2020-05-27,142218240.56
2020-05-28,141977690.06
2020-05-29,167838722.28
2020-05-30,85187816.44
2020-05-31,52232042.3
2020-06-01,109520509.94
2020-06-02,405790876.76
2020-06-03,143525026.92
2020-06-04,179009887.76
2020-06-05,166461662.48
2020-06-06,65300722.12
2020-06-07,125188569.5
2020-06-08,145812816.28
2020-06-09,184879065.56
2020-06-10,217889729.8
2020-06-11,333116170.0
2020-06-12,140832101.06
2020-06-13,43380437.62
2020-06-14,38294411.8
2020-06-15,218327504.36
2020-06-16,163253460.46
2020-06-17,142163738.14
2020-06-18,113447697.78
2020-06-19,137495674.76
2020-06-20,61612834.84
2020-06-21,34756839.96
2020-06-22,110687532.1
2020-06-23,132903259.08
2020-06-24,223052613.4
2020-06-25,173297399.04
2020-06-26,184647455.48
2020-06-27,127990568.3
2020-06-28,61958160.22
2020-06-29,112764961.38
2020-06-30,112986359.4
2020-07-01,145495105.3
2020-07-02,152815120.34
2020-07-03,93901258.84
2020-07-04,70773955.14
2020-07-05,49615529.44
2020-07-06,167759235.46
2020-07-07,124564690.76
2020-07-08,222802857.68
2020-07-09,206364007.7
2020-07-10,149249934.08
2020-07-11,69092447.42
2020-07-12,62916674.0
2020-07-13,135992245.28
2020-07-14,121041920.48
2020-07-15,108604115.78
2020-07-16,139135265.2
2020-07-17,92614340.78
2020-07-18,39403170.04
2020-07-19,38715641.7
2020-07-20,112930312.92
2020-07-21,159639046.06
2020-07-22,104058220.52
2020-07-23,272248616.68
2020-07-24,192678924.96
2020-07-25,177520317.06
2020-07-26,226265075.66
2020-07-27,605983777.0
2020-07-28,629798939.92
2020-07-29,275411879.86
2020-07-30,256334229.84
2020-07-31,313600632.76
2020-08-01,308945553.7
2020-08-02,570574683.46
2020-08-03,253457392.78
2020-08-04,294071757.22
2020-08-05,261654792.44
2020-08-06,308977189.68
2020-08-07,456146446.42
2020-08-08,121516862.3
2020-08-09,88304601.02
2020-08-10,351150151.28
2020-08-11,422278985.94
2020-08-12,227927032.08
2020-08-13,253546033.34
2020-08-14,230836413.3
2020-08-15,131357551.56
2020-08-16,124571342.74
2020-08-17,357968421.62
2020-08-18,329930611.84
2020-08-19,271834894.24
2020-08-20,150544837.12
2020-08-21,186536045.14
2020-08-22,107176840.96
2020-08-23,59542515.64
2020-08-24,126008027.26
2020-08-25,217863238.24
2020-08-26,151655651.32
2020-08-27,204010207.06
2020-08-28,146771106.08
2020-08-29,81148630.4
2020-08-30,67099753.4
2020-08-31,147463882.78
2020-09-01,232470019.22
2020-09-02,522241102.46
2020-09-03,694847377.22
2020-09-04,907562403.78
2020-09-05,566412091.96
2020-09-06,244359164.34
2020-09-07,336247221.18
2020-09-08,411396939.08
2020-09-09,363922266.16
2020-09-10,407801539.52
2020-09-11,284589992.22
2020-09-12,122188652.06
2020-09-13,145629947.42
2020-09-14,286791535.2
2020-09-15,325397958.44
2020-09-16,329827356.1
2020-09-17,329919234.04
2020-09-18,234889690.14
2020-09-19,109984255.34
2020-09-20,148696051.3
2020-09-21,481748861.66
2020-09-22,198704793.62
2020-09-23,278755699.96
2020-09-24,318167498.08
2020-09-25,336866955.54
2020-09-26,93709209.7
2020-09-27,131318065.0
2020-09-28,303780589.24
2020-09-29,310637778.94
2020-09-30,300202063.34
2020-10-01,393377576.26
2020-10-02,358976914.24
2020-10-03,65308915.22
2020-10-04,75169358.58
2020-10-05,219344561.88
2020-10-06,297236021.5
2020-10-07,246858851.4
2020-10-08,310027535.52
2020-10-09,281754444.08
2020-10-10,157906022.4
2020-10-11,136950564.32
2020-10-12,323791977.74
2020-10-13,383479886.3
2020-10-14,276903242.2
2020-10-15,297733340.34
2020-10-16,380133486.92
2020-10-17,93292091.5
2020-10-18,76982811.52
2020-10-19,413078250.3
2020-10-20,443438137.64
2020-10-21,795003935.18
2020-10-22,727798846.64
2020-10-23,301255345.9
2020-10-24,137186275.44
2020-10-25,202582139.16
2020-10-26,392624072.42
2020-10-27,474189579.7
2020-10-28,615014939.86
2020-10-29,433633836.32
2020-10-30,524664223.2
2020-10-31,261614691.96
2020-11-01,102122581.22
2020-11-02,428862268.72
2020-11-03,322829759.22
2020-11-04,540597291.44
2020-11-05,595050876.06
2020-11-06,786327296.68
2020-11-07,301835188.76
2020-11-08,128656820.02
2020-11-09,353112369.32
2020-11-10,299654624.44
2020-11-11,401128839.18
2020-11-12,546041251.38
2020-11-13,383936956.78
2020-11-14,246301952.74
2020-11-15,175578712.74
2020-11-16,440916211.84
2020-11-17,710794504.76
2020-11-18,1188602993.56
2020-11-19,485352217.6
2020-11-20,627778587.16
2020-11-21,416364013.48
2020-11-22,508385060.22
2020-11-23,834791280.18
2020-11-24,1197195747.4
2020-11-25,892627579.58
2020-11-26,1929410501.46
2020-11-27,830306883.24
2020-11-28,363952816.18
2020-11-29,236488549.34
2020-11-30,925995422.44
2020-12-01,1420593841.2
2020-12-02,719918019.66
2020-12-03,553927902.14
2020-12-04,539243389.62
2020-12-05,168836344.36
2020-12-06,152449972.58
2020-12-07,358907893.96
2020-12-08,572177485.92
2020-12-09,903336835.5
2020-12-10,555955942.98
2020-12-11,705885359.66
2020-12-12,255559652.62
2020-12-13,270696856.82
2020-12-14,391920404.62
2020-12-15,616397097.76
2020-12-16,1196147212.36
